filename,dut,dut_version,os_version,config,test_case,line_number,timestamp,run_date,status,suite,raw_line,failure_freq_suite,failure_freq_dut,execution_duration,time_since_last_failure,recent_failure_flag,config_hash,cluster,root_cause_label,keywords,anomaly_score,is_anomaly,log_id,message_snippet,cluster_label,predicted_label,actual_status,confidence,lowconfidenceflag,fail_flag,failure_rate,suite_fail_rate,dut_fail_rate,regression_group,schedule_cycle,past_failure_frequency
tc_conf_dtmf_dtg_002_20240730-143550.log,Asterisk,1.0,Linux,drmf_atserisk_testing,tc_conf_dtmf_dtg_002,575,2024-07-30 14:36:31.193,2024-07-30,ABORT,dtmf,14:36:31.193 # TEST CASE ABORTED : User registration could not be completed at DUT.,46.0,31.0,23,0.0,0,50918620,-1,Normal,No keywords,0.0191792685639881,0,212,User registration could not be completed at DUT....,-1,ABORT,ABORT,1.0,0,0,0.0,0.022584033613445378,0.03988183161004431,0,1,0
tc_conf_dtmf_dtg_002_20240730-143550.log,Asterisk,1.0,Linux,drmf_atserisk_testing,tc_conf_dtmf_dtg_002,587,2024-07-30 14:36:32.195,2024-07-30,ABORT,dtmf,14:36:32.195 # Result: ABORTED  User registration could not be completed at DUT.#,46.0,31.0,37,0.0,0,50918620,-1,Normal,No keywords,0.0195389528416625,0,213,User registration could not be completed at DUT.#...,-1,ABORT,ABORT,1.0,0,0,0.0,0.022584033613445378,0.03988183161004431,0,2,0
tc_conf_dtmf_dtg_002_20240730-143646.log,Asterisk,1.0,Linux,drmf_atserisk_testing,tc_conf_dtmf_dtg_002,2835,2024-07-30 14:37:41.003,2024-07-30,PASS,dtmf,"14:37:41.003 # TEST CASE PASSED :DUT(IP-PABX) has sent DTMF RTP event packets  with valid values (M bit, E bit, Duration  Field and Sequence Number).",46.0,31.0,53,0.0,0,50918620,-1,Normal,No keywords,0.0464303630087702,0,214,No Error...,-1,PASS,PASS,1.0,0,0,0.0,0.022584033613445378,0.03988183161004431,0,3,0
tc_conf_dtmf_dtg_002_20240730-143646.log,Asterisk,1.0,Linux,drmf_atserisk_testing,tc_conf_dtmf_dtg_002,2847,2024-07-30 14:37:41.925,2024-07-30,PASS,dtmf,14:37:41.925 * Result: PASSED  DUT(IP-PABX) has sent DTMF RTP event packets    *,46.0,31.0,20,0.0,0,50918620,-1,Normal,No keywords,0.0468986388042603,0,215,No Error...,-1,PASS,PASS,1.0,0,0,0.0,0.022584033613445378,0.03988183161004431,0,4,0
tc_conf_dtmf_hvg_011_20240730-143832.log,Asterisk,1.0,Linux,drmf_atserisk_testing,tc_conf_dtmf_hvg_011,758,2024-07-30 14:39:27.915,2024-07-30,PASS,dtmf,14:39:27.915 # TEST CASE PASSED :DUT(IP-PABX) has sent DTMF RTP event packets with same timestamp for event.,46.0,31.0,35,0.0,0,50918620,-1,Normal,No keywords,0.0470172007863154,0,264,No Error...,-1,PASS,PASS,1.0,0,0,0.0,0.022584033613445378,0.03988183161004431,0,5,0
tc_conf_dtmf_hvg_011_20240730-143832.log,Asterisk,1.0,Linux,drmf_atserisk_testing,tc_conf_dtmf_hvg_011,770,2024-07-30 14:39:28.916,2024-07-30,PASS,dtmf,14:39:28.916 * Result: PASSED  DUT(IP-PABX) has sent DTMF RTP event packets    *,46.0,31.0,48,0.0,0,50918620,-1,Normal,No keywords,0.0466513664054263,0,265,No Error...,-1,PASS,PASS,1.0,0,0,0.0,0.022584033613445378,0.03988183161004431,0,6,0
tc_conf_dtmf_pvg_008_20240730-143941.log,Asterisk,1.0,Linux,drmf_atserisk_testing,tc_conf_dtmf_pvg_008,692,2024-07-30 14:40:42.095,2024-07-30,PASS,dtmf,14:40:42.095 # TEST CASE PASSED :DUT(IP-PABX) has sent the DTMF RTP Event packets  with Duration field in the range of 0x1 to 0xFFFF.,46.0,31.0,20,0.0,0,50918620,-1,Normal,No keywords,0.0468986388042603,0,326,No Error...,-1,PASS,PASS,1.0,0,0,0.0,0.022584033613445378,0.03988183161004431,0,7,0
tc_conf_dtmf_pvg_008_20240730-143941.log,Asterisk,1.0,Linux,drmf_atserisk_testing,tc_conf_dtmf_pvg_008,704,2024-07-30 14:40:43.099,2024-07-30,PASS,dtmf,14:40:43.099 * Result: PASSED  DUT(IP-PABX) has sent the DTMF RTP Event        *,46.0,31.0,56,0.0,0,50918620,-1,Normal,No keywords,0.0461625691731829,0,327,No Error...,-1,PASS,PASS,1.0,0,0,0.0,0.022584033613445378,0.03988183161004431,0,8,0
tc_conf_dtmf_pvg_009_20240730-144247.log,Asterisk,1.0,Linux,drmf_atserisk_testing,tc_conf_dtmf_pvg_009,726,2024-07-30 14:44:11.107,2024-07-30,PASS,dtmf,14:44:11.107 # TEST CASE PASSED :DUT(IP-PABX) has negotiated the DTMF payload  using SDP.,46.0,31.0,23,0.0,0,50918620,-1,Normal,No keywords,0.0468986388042603,0,328,No Error...,-1,PASS,PASS,1.0,0,0,0.0,0.022584033613445378,0.03988183161004431,0,9,0
tc_conf_dtmf_pvg_009_20240730-144247.log,Asterisk,1.0,Linux,drmf_atserisk_testing,tc_conf_dtmf_pvg_009,737,2024-07-30 14:44:12.111,2024-07-30,PASS,dtmf,14:44:12.111 * Result: PASSED  DUT(IP-PABX) has negotiated the DTMF payload    *,46.0,31.0,18,0.0,0,50918620,-1,Normal,No keywords,0.0468986388042603,0,329,No Error...,-1,PASS,PASS,1.0,0,0,0.0,0.022584033613445378,0.03988183161004431,0,10,0
